Distribucion Supermercado - Demanda total: 903221
Varianza demanda por seccion: 16617218
Promedio demanda por seccion: 3542
Mayor demanda en una seccion: 50895
Menor demanda en una seccion: 2941

Pasillo 1 - Demanda del pasillo: 209734

   P1 - Seccion 1 - Demanda de la seccion: 3046

       Producto | Demanda
       389      | 831
       2625     | 281
       1012     | 230
       4357     | 185
       9095     | 153
       1440     | 134
       641      | 109
       1402     | 94
       6656     | 90
       7923     | 81
       2877     | 71
       2992     | 69
       3558     | 58
       1641     | 54
       1211     | 53
       10612    | 46
       6512     | 43
       9719     | 38
       3032     | 35
       3122     | 35
       4747     | 32
       12032    | 26
       4960     | 25
       3176     | 23
       4748     | 23
       14168    | 20
       5765     | 19
       9778     | 18
       14045    | 15
       6426     | 15
       16057    | 14
       3544     | 13
       9650     | 11
       10192    | 10
       15732    | 10
       4565     | 9
       6218     | 9
       14606    | 8
       7111     | 7
       2908     | 6
       13301    | 6
       14301    | 6
       8398     | 5
       11821    | 5
       4892     | 4
       14730    | 4
       13653    | 4
       11997    | 3
       4151     | 3
       8266     | 3

   P1 - Seccion 2 - Demanda de la seccion: 3044

       Producto | Demanda
       1020     | 465
       2552     | 371
       4070     | 278
       1527     | 228
       4113     | 177
       2767     | 159
       15879    | 128
       2171     | 117
       3532     | 97
       9569     | 87
       7252     | 80
       3784     | 73
       564      | 68
       13106    | 60
       9859     | 57
       15119    | 52
       5770     | 47
       5330     | 41
       12365    | 39
       2670     | 37
       10524    | 33
       1137     | 32
       8162     | 26
       6127     | 24
       13128    | 24
       3302     | 21
       6425     | 20
       7461     | 19
       12078    | 17
       5575     | 16
       13382    | 15
       9593     | 13
       9556     | 13
       8968     | 12
       1680     | 10
       6159     | 10
       5139     | 9
       11658    | 9
       8389     | 7
       144      | 7
       8486     | 7
       12139    | 6
       13951    | 6
       9728     | 5
       16277    | 5
       11054    | 4
       14270    | 4
       12366    | 3
       9159     | 3
       5394     | 3

   P1 - Seccion 3 - Demanda de la seccion: 3042

       Producto | Demanda
       4336     | 589
       1209     | 324
       2988     | 264
       3021     | 215
       1896     | 175
       10017    | 136
       401      | 124
       7744     | 108
       894      | 92
       1197     | 87
       3346     | 80
       3053     | 69
       5146     | 68
       990      | 59
       509      | 54
       2409     | 50
       15634    | 48
       12715    | 42
       4716     | 39
       4510     | 34
       9520     | 33
       13241    | 31
       3163     | 27
       11900    | 25
       14589    | 24
       3432     | 22
       6062     | 21
       5707     | 18
       10827    | 18
       13989    | 15
       5668     | 15
       6457     | 13
       13442    | 12
       1926     | 12
       10086    | 11
       5609     | 10
       9207     | 9
       15421    | 8
       14253    | 8
       4194     | 7
       15588    | 7
       7434     | 6
       16027    | 6
       8237     | 5
       12239    | 4
       13379    | 4
       10688    | 4
       11951    | 4
       7389     | 3
       13968    | 3

   P1 - Seccion 4 - Demanda de la seccion: 3046

       Producto | Demanda
       549      | 843
       1        | 266
       1085     | 235
       770      | 166
       5328     | 157
       792      | 129
       723      | 119
       4595     | 103
       10554    | 89
       5052     | 79
       2272     | 73
       15060    | 67
       3170     | 57
       8816     | 55
       3400     | 52
       5237     | 47
       4983     | 43
       465      | 41
       11946    | 34
       4623     | 33
       722      | 29
       6434     | 28
       3707     | 25
       13887    | 24
       6216     | 23
       7225     | 21
       15680    | 18
       8579     | 18
       4543     | 16
       3589     | 16
       12522    | 13
       5063     | 12
       8802     | 12
       5930     | 10
       11162    | 10
       11280    | 10
       3885     | 8
       4645     | 8
       13987    | 7
       8950     | 7
       15600    | 6
       15431    | 6
       13389    | 5
       6331     | 5
       12501    | 4
       12976    | 4
       14426    | 4
       14191    | 3
       11388    | 3
       14424    | 3

   P1 - Seccion 5 - Demanda de la seccion: 3044

       Producto | Demanda
       2399     | 481
       768      | 354
       116      | 266
       4630     | 234
       1166     | 179
       1145     | 149
       10425    | 136
       198      | 111
       4811     | 100
       5546     | 93
       12963    | 79
       4429     | 75
       1865     | 68
       12512    | 61
       2914     | 55
       4097     | 53
       419      | 47
       498      | 45
       1857     | 37
       2220     | 36
       8514     | 32
       3280     | 30
       5348     | 26
       935      | 26
       2377     | 25
       5731     | 21
       7944     | 21
       7548     | 18
       4084     | 18
       2206     | 16
       5604     | 15
       10631    | 13
       8204     | 13
       721      | 12
       12703    | 11
       5846     | 10
       15958    | 9
       6455     | 8
       9562     | 8
       6336     | 7
       12046    | 7
       13110    | 6
       12564    | 6
       8401     | 5
       11034    | 5
       9571     | 4
       6269     | 4
       13348    | 3
       11311    | 3
       14572    | 3

   P1 - Seccion 6 - Demanda de la seccion: 3044

       Producto | Demanda
       10444    | 473
       232      | 366
       1096     | 271
       2990     | 233
       2408     | 169
       265      | 166
       4037     | 123
       6582     | 115
       754      | 96
       6858     | 92
       2109     | 83
       157      | 71
       6249     | 66
       6092     | 61
       3237     | 54
       4941     | 52
       5633     | 45
       6441     | 42
       5558     | 40
       1089     | 36
       4028     | 35
       616      | 31
       12048    | 27
       2640     | 26
       11605    | 25
       2407     | 22
       3764     | 20
       3281     | 19
       3148     | 17
       12160    | 17
       8694     | 14
       5176     | 13
       5497     | 13
       14648    | 12
       3305     | 10
       11544    | 10
       12051    | 9
       7767     | 9
       7867     | 8
       15803    | 7
       15412    | 7
       6863     | 6
       8647     | 6
       13576    | 5
       9138     | 5
       14059    | 4
       6452     | 4
       10950    | 3
       12328    | 3
       10881    | 3

   P1 - Seccion 7 - Demanda de la seccion: 3053

       Producto | Demanda
