Distribucion Supermercado - Demanda total: 854020
Varianza demanda por seccion: 103042731
Promedio demanda por seccion: 3349
Mayor demanda en una seccion: 156064
Menor demanda en una seccion: 228

Pasillo 1 - Demanda del pasillo: 363455

   P1 - Seccion 1 - Demanda de la seccion: 156064

       Producto | Demanda
       39       | 50675
       48       | 42135
       38       | 15596
       32       | 15167
       41       | 14945
       36       | 2936
       9        | 1372
       49       | 1120
       37       | 1074
       19       | 1005
       31       | 920
       45       | 911
       18       | 860
       23       | 758
       10       | 712
       11       | 711
       2        | 549
       30       | 540
       47       | 444
       12       | 409
       15       | 345
       5        | 295
       1        | 266
       43       | 219
       40       | 211
       22       | 200
       44       | 196
       0        | 177
       27       | 157
       6        | 151
       26       | 143
       16       | 124
       42       | 101
       7        | 100
       24       | 90
       25       | 83
       35       | 78
       46       | 75
       17       | 58
       33       | 37
       4        | 19
       8        | 19
       14       | 19
       13       | 15
       34       | 14
       3        | 8
       29       | 8
       28       | 7
       20       | 5
       21       | 5

   P1 - Seccion 2 - Demanda de la seccion: 22660

       Producto | Demanda
       65       | 4472
       89       | 3837
       79       | 1600
       60       | 1489
       78       | 1060
       76       | 869
       55       | 704
       62       | 543
       56       | 535
       94       | 516
       53       | 509
       52       | 501
       80       | 464
       96       | 334
       75       | 324
       66       | 319
       82       | 287
       95       | 271
       77       | 250
       50       | 249
       69       | 246
       98       | 232
       68       | 215
       83       | 198
       59       | 197
       51       | 195
       85       | 194
       64       | 192
       67       | 189
       58       | 165
       88       | 155
       91       | 152
       71       | 143
       61       | 141
       70       | 98
       93       | 97
       84       | 95
       86       | 93
       97       | 89
       54       | 83
       92       | 62
       99       | 58
       87       | 55
       73       | 50
       74       | 47
       81       | 26
       90       | 23
       72       | 22
       57       | 12
       63       | 3

   P1 - Seccion 3 - Demanda de la seccion: 15161

       Producto | Demanda
       110      | 2794
       101      | 2237
       147      | 1779
       123      | 1302
       117      | 1026
       103      | 812
       107      | 765
       105      | 657
       136      | 467
       128      | 276
       116      | 266
       133      | 245
       104      | 244
       108      | 234
       141      | 211
       127      | 200
       129      | 187
       102      | 155
       124      | 98
       126      | 95
       120      | 92
       111      | 88
       112      | 73
       131      | 68
       114      | 61
       119      | 60
       100      | 54
       138      | 53
       148      | 52
       121      | 50
       113      | 49
       115      | 49
       109      | 45
       125      | 39
       118      | 37
       106      | 35
       132      | 27
       137      | 27
       139      | 26
       130      | 23
       122      | 19
       135      | 17
       134      | 15
       149      | 15
       140      | 13
       142      | 7
       144      | 7
       143      | 5
       146      | 3
       145      | 2

   P1 - Seccion 4 - Demanda de la seccion: 16172

       Producto | Demanda
       170      | 3099
       185      | 1376
       161      | 1010
       179      | 998
       175      | 970
       156      | 830
       186      | 660
       150      | 597
       155      | 546
       178      | 479
       176      | 404
       195      | 337
       164      | 330
       166      | 300
       168      | 293
       169      | 276
       165      | 274
       189      | 259
       167      | 256
       151      | 232
       171      | 225
       199      | 223
       193      | 204
       197      | 191
       184      | 182
       152      | 163
       192      | 163
       159      | 130
       153      | 111
       198      | 111
       163      | 104
       174      | 91
       173      | 86
       157      | 71
       191      | 69
       177      | 65
       188      | 62
       194      | 61
       190      | 60
       187      | 51
       180      | 50
       158      | 34
       172      | 24
       196      | 24
       162      | 23
       181      | 20
       182      | 15
       183      | 14
       160      | 12
       154      | 7

   P1 - Seccion 5 - Demanda de la seccion: 18211

       Producto | Demanda
       225      | 3257
       237      | 3032
       249      | 1160
       201      | 1133
       242      | 911
       229      | 820
       209      | 611
       208      | 529
       248      | 412
       246      | 405
       232      | 366
       203      | 327
       215      | 320
       204      | 316
       235      | 309
       227      | 307
       213      | 304
       234      | 284
       244      | 272
       205      | 262
       206      | 257
       200      | 239
       220      | 230
       222      | 228
       211      | 206
       243      | 202
       207      | 186
       228      | 181
       236      | 176
       226      | 112
       233      | 95
       218      | 91
       247      | 75
       223      | 74
       212      | 70
       245      | 65
       210      | 61
       216      | 60
       230      | 53
       217      | 45
       219      | 39
       221      | 34
       214      | 25
       239      | 24
       202      | 12
       231      | 10
       224      | 9
       240      | 7
       238      | 6
       241      | 2

   P1 - Seccion 6 - Demanda de la seccion: 18340

       Producto | Demanda
       271      | 2094
       270      | 1734
       255      | 1474
       286      | 1183
       258      | 987
       264      | 895
       269      | 701
       260      | 691
       259      | 684
       272      | 650
       279      | 633
       251      | 621
       267      | 584
       297      | 525
       261      | 523
       281      | 453
       262      | 317
       278      | 306
       250      | 276
       285      | 268
       256      | 250
       282      | 233
       274      | 195
       289      | 181
       265      | 166
       288      | 147
       275      | 141
       266      | 139
       284      | 138
       290      | 117
       291      | 117
       276      | 114
       280      | 110
       254      | 96
       298      | 86
       273      | 85
       292      | 84
       295      | 58
       293      | 56
       277      | 46
       287      | 40
       283      | 29
       268      | 28
       257      | 25
       299      | 23
       263      | 17
       294      | 8
       253      | 5
       296      | 4
       252      | 3

   P1 - Seccion 7 - Demanda de la seccion: 12807

       Producto | Demanda
       310      | 2594
       338      | 1274
       301      | 1204
       334      | 774
       340      | 643
       345      | 490
       319      | 435
       341      | 396
       346      | 335
       342      | 319
       309      | 309
       320      | 305
       347      | 264
       308      | 263
       344      | 262
       337      | 224
       314      | 204
       331      | 194
       325      | 193
       328      | 162
       348      | 138
       315      | 130
       317      | 127
       330      | 118
       332      | 116
       349      | 106
       311      | 103
       335      | 97
       312      | 91
       326      | 90
       336      | 84
       322      | 81
       305      | 75
       313      | 71
       329      | 62
       318      | 56
       324      | 52
       321      | 50
       307      | 48
       323      | 45
       304      | 41
       339      | 39
       300      | 37
       333      | 30
       343      | 29
       306      | 24
       302      | 8
       316      | 7
       327      | 5
       303      | 3

   P1 - Seccion 8 - Demanda de la seccion: 10371

       Producto | Demanda
       389      | 831
       371      | 782
       379      | 677
       396      | 674
       374      | 584
       398      | 515
       365      | 442
       352      | 438
       384      | 437
       351      | 420
       390      | 376
       370      | 375
       397      | 307
       350      | 248
       388      | 248
       392      | 239
       399      | 235
       382      | 210
       368      | 179
       364      | 174
       393      | 148
       357      | 147
       387      | 129
       395      | 122
       386      | 111
       363      | 109
       369      | 103
       375      | 99
       362      | 97
       381      | 95
       361      | 90
       367      | 87
       358      | 85
       380      | 85
       378      | 82
       373      | 79
       377      | 67
       385      | 54
       372      | 49
       391      | 44
       359      | 28
       394      | 23
       366      | 16
       383      | 14
       376      | 6
       354      | 4
       353      | 2
       355      | 2
       356      | 2
       360      | 1

   P1 - Seccion 9 - Demanda de la seccion: 15306

