Distribucion Supermercado - Demanda total: 903221
Varianza demanda por seccion: 18879725
Promedio demanda por seccion: 3542
Mayor demanda en una seccion: 52839
Menor demanda en una seccion: 2685

Pasillo 1 - Demanda del pasillo: 71642

   P1 - Seccion 1 - Demanda de la seccion: 52839

       Producto | Demanda
       39       | 50675
       1903     | 266
       2167     | 266
       4226     | 166
       10441    | 166
       659      | 118
       743      | 118
       2614     | 91
       2740     | 91
       13615    | 74
       112      | 73
       2141     | 60
       2222     | 60
       6813     | 51
       7227     | 51
       7594     | 42
       7702     | 42
       4247     | 35
       4473     | 35
       5549     | 29
       5600     | 29
       10624    | 25
       10725    | 25
       5987     | 21
       5992     | 21
       10934    | 18
       11337    | 18
       7731     | 15
       7762     | 15
       13309    | 13
       13320    | 13
       11665    | 11
       11728    | 11
       7303     | 9
       7357     | 9
       11590    | 8
       11708    | 8
       13317    | 7
       13323    | 7
       12828    | 6
       12834    | 6
       11273    | 5
       11298    | 5
       7814     | 4
       7827     | 4
       15377    | 4
       15390    | 4
       9781     | 3
       9784     | 3
       14995    | 3

   P1 - Seccion 17 - Demanda de la seccion: 2687

       Producto | Demanda
       365      | 442
       10490    | 382
       3021     | 215
       1023     | 201
       1319     | 141
       13300    | 136
       1073     | 105
       42       | 101
       54       | 83
       5316     | 81
       2384     | 67
       9906     | 66
       5342     | 56
       11732    | 55
       6437     | 47
       1863     | 45
       10228    | 39
       7756     | 38
       3424     | 32
       2885     | 31
       6929     | 27
       1136     | 26
       4331     | 23
       12059    | 23
       14289    | 20
       5591     | 19
       13156    | 17
       4653     | 16
       10439    | 14
       657      | 13
       11856    | 12
       15310    | 12
       8482     | 10
       11484    | 10
       14887    | 9
       3705     | 8
       5983     | 7
       7679     | 7
       6594     | 6
       8091     | 6
       4814     | 5
       6943     | 5
       15339    | 5
       1457     | 4
       11416    | 4
       12377    | 4
       6070     | 3
       7188     | 3
       12079    | 3
       12710    | 3

   P1 - Seccion 5 - Demanda de la seccion: 2687

       Producto | Demanda
       319      | 435
       1003     | 387
       1343     | 214
       1063     | 202
       4832     | 141
       4563     | 136
       2130     | 105
       5569     | 102
       1876     | 83
       3935     | 81
       4002     | 67
       6680     | 66
       5761     | 56
       8816     | 55
       11230    | 47
       995      | 45
       10953    | 39
       6577     | 38
       4293     | 32
       1940     | 31
       7315     | 27
       678      | 26
       4631     | 23
       11140    | 23
       14705    | 20
       4815     | 19
       13800    | 17
       3996     | 16
       10998    | 14
       16057    | 14
       12162    | 12
       14900    | 12
       8723     | 10
       11395    | 10
       15109    | 9
       3443     | 8
       6045     | 7
       7567     | 7
       6775     | 6
       8026     | 6
       5120     | 5
       6769     | 5
       15437    | 5
       841      | 4
       11458    | 4
       12281    | 4
       6147     | 3
